selector,variant,nhit_bin,cells,total_excess,total_expected_counts,observed_over_expected
active30,pass5_endpoint_extrap,"[125,200)",4,5443.015863402573,3684.400102246001,1.477314002918555
active30,pass5_endpoint_extrap,"[200,300)",4,4179.357078619075,2781.055156207994,1.5027954657029112
active30,pass5_endpoint_extrap,"[300,500)",5,3585.225275139969,2506.7238217863387,1.4302434292841522
active30,pass5_endpoint_extrap,"[500,800)",5,1514.5941511172482,1247.827823234303,1.213784564597623
active30,pass5_endpoint_extrap,"[800,1100)",4,513.5152226673823,437.4865444423602,1.1737851808035187
active30,pass5_endpoint_extrap,"[1100,2000)",5,281.43908271271425,258.81921413236535,1.087396403919149
active30,pass5_endpoint_extrap,"[2000,3000)",3,16.453911220065258,8.785939840552071,1.8727548240338696
active30,pass5_flat_below_min,"[125,200)",4,5443.015863402573,2672.500518930898,2.036675325167004
active30,pass5_flat_below_min,"[200,300)",4,4179.357078619075,2504.654409975121,1.6686362246121569
active30,pass5_flat_below_min,"[300,500)",5,3585.225275139969,2452.33756786029,1.461962383208175
active30,pass5_flat_below_min,"[500,800)",5,1514.5941511172482,1242.8065128070912,1.218688617664449
active30,pass5_flat_below_min,"[800,1100)",4,513.5152226673823,436.42478579274143,1.1766408310990184
active30,pass5_flat_below_min,"[1100,2000)",5,281.43908271271425,258.07723801306673,1.0905226856870838
active30,pass5_flat_below_min,"[2000,3000)",3,16.453911220065258,8.716831460434419,1.8876023122334464
active30,pass5_cut_below_min,"[125,200)",4,5443.015863402573,2198.922480398003,2.4753104813487523
active30,pass5_cut_below_min,"[200,300)",4,4179.357078619075,2326.422505990003,1.7964737995175817
active30,pass5_cut_below_min,"[300,500)",5,3585.225275139969,2418.6563476002507,1.4823210741357151
active30,pass5_cut_below_min,"[500,800)",5,1514.5941511172482,1241.564326770602,1.2199079165368871
active30,pass5_cut_below_min,"[800,1100)",4,513.5152226673823,436.1312133527493,1.1774328618209762
active30,pass5_cut_below_min,"[1100,2000)",5,281.43908271271425,257.909969343068,1.091229949077107
active30,pass5_cut_below_min,"[2000,3000)",3,16.453911220065258,8.70365536080604,1.8904598743833385
drop4,pass5_endpoint_extrap,"[125,200)",3,5431.312467886768,3536.1071300842814,1.5359581223313545
drop4,pass5_endpoint_extrap,"[200,300)",3,4073.896226117965,2687.225892195484,1.5160229878514457
drop4,pass5_endpoint_extrap,"[300,500)",5,3585.225275139969,2506.7238217863387,1.4302434292841522
drop4,pass5_endpoint_extrap,"[500,800)",3,1201.056810782375,996.8174448170714,1.2048914442932768
drop4,pass5_endpoint_extrap,"[800,1100)",4,513.5152226673823,437.4865444423602,1.1737851808035187
drop4,pass5_endpoint_extrap,"[1100,2000)",5,281.43908271271425,258.81921413236535,1.087396403919149
drop4,pass5_endpoint_extrap,"[2000,3000)",3,16.453911220065258,8.785939840552071,1.8727548240338696
drop4,pass5_flat_below_min,"[125,200)",3,5431.312467886768,2532.5307382763376,2.1446185769035786
drop4,pass5_flat_below_min,"[200,300)",3,4073.896226117965,2414.0701173311736,1.6875633383100648
drop4,pass5_flat_below_min,"[300,500)",5,3585.225275139969,2452.33756786029,1.461962383208175
drop4,pass5_flat_below_min,"[500,800)",3,1201.056810782375,992.2180758823886,1.2104766482048457
drop4,pass5_flat_below_min,"[800,1100)",4,513.5152226673823,436.42478579274143,1.1766408310990184
drop4,pass5_flat_below_min,"[1100,2000)",5,281.43908271271425,258.07723801306673,1.0905226856870838
drop4,pass5_flat_below_min,"[2000,3000)",3,16.453911220065258,8.716831460434419,1.8876023122334464
drop4,pass5_cut_below_min,"[125,200)",3,5431.312467886768,2061.4370933869213,2.6347214209496803
drop4,pass5_cut_below_min,"[200,300)",3,4073.896226117965,2236.649565776141,1.8214280361368456
drop4,pass5_cut_below_min,"[300,500)",5,3585.225275139969,2418.6563476002507,1.4823210741357151
drop4,pass5_cut_below_min,"[500,800)",3,1201.056810782375,991.0920912345446,1.2118518767375994
drop4,pass5_cut_below_min,"[800,1100)",4,513.5152226673823,436.1312133527493,1.1774328618209762
drop4,pass5_cut_below_min,"[1100,2000)",5,281.43908271271425,257.909969343068,1.091229949077107
drop4,pass5_cut_below_min,"[2000,3000)",3,16.453911220065258,8.70365536080604,1.8904598743833385
nhit_only,pass5_endpoint_extrap,"[125,200)",1,1885.4965745534137,1020.479296137208,1.847657842437893
nhit_only,pass5_endpoint_extrap,"[200,300)",1,3679.5001457466824,2768.9031386076854,1.328865605460248
nhit_only,pass5_endpoint_extrap,"[300,500)",1,4446.368373305411,475.0535961939621,9.359719427300115
nhit_only,pass5_endpoint_extrap,"[500,800)",1,1984.5204338870794,216.43799167138505,9.16900225585234
