selector,cell_id,nhit_bin,predE_bin,expected_counts,true_e10_tev,true_e50_tev,true_e90_tev,frac_below_pass5_min,frac_below_1tev,frac_above_10tev
active30,1,"[125,200)","[2,2.5)",826.6158471987316,0.14258759071578012,0.28929701068184926,0.5619247226750929,0.7937868547535097,0.9864515900674826,0.00038937166909854736
active30,2,"[125,200)","[2.5,3)",2334.4618805638456,0.2699169833385135,0.5582771900850924,1.0467575453033633,0.33732132566030765,0.8376566414696297,0.0005687008807000783
active30,3,"[125,200)","[3,3.25)",375.0294023217002,0.48675313889735444,1.0492457880454018,1.9697817904583976,0.08279208726728586,0.3706944039573743,0.0012297064948313902
active30,4,"[125,200)","[3.25,3.5)",148.2929721617194,0.6246962430306263,1.7620636154676712,3.3457342620200365,0.07287995508547722,0.1596701606264399,0.002052696232279423
active30,14,"[200,300)","[2.5,3)",1789.926154425639,0.33280484846766256,0.6440469031691208,1.1055320997295492,0.2327812339455113,0.7730812554447842,0.0001955056852431822
active30,15,"[200,300)","[3,3.25)",684.5883506559877,0.6163768956291539,1.1080441122892857,1.8191968937962282,0.03653196214479433,0.2987273959759607,0.0005597321137501548
active30,16,"[200,300)","[3.25,3.5)",212.71138711386155,0.8218092761429323,1.74517769238612,3.0954213420247156,0.041867771776140386,0.11562626816693095,0.001098952467058588
active30,17,"[200,300)","[3.5,3.75)",93.82926401251014,1.2688389907491495,3.113597617061358,5.477917794852718,0.04323090286744083,0.06839164512255196,0.006791088217182577
active30,26,"[300,500)","[2.5,3)",629.1194873976915,0.4424090993685073,0.7483564894260019,1.221541059291724,0.1033213022610938,0.6798799750072995,2.8159262498356916e-05
active30,27,"[300,500)","[3,3.25)",1048.802390567327,0.7372281335393827,1.197664307185657,1.8428489161498387,0.008372972632246593,0.21381114069153498,0.00014354841129497373
active30,28,"[300,500)","[3.25,3.5)",608.0046981650544,1.0692129923209732,1.802588877243058,2.8044599085935857,0.013402547080580763,0.04930136672146203,0.00028541582688114474
active30,29,"[300,500)","[3.5,3.75)",164.59855536807527,1.4359451954103253,2.870200387226249,4.962313384018562,0.02643366192443437,0.04279357405024957,0.0028641921149731965
active30,30,"[300,500)","[3.75,4.0)",56.19869028818847,2.1550661317886317,5.2741791637581965,9.045037696961804,0.031756640414552756,0.04480623261244234,0.1041259058906645
active30,39,"[500,800)","[3,3.25)",233.44696009949803,0.9011009184471291,1.3649297571376209,2.1074703574598166,0.0004848849279580282,0.09211474943437332,1.1609270220259594e-05
active30,40,"[500,800)","[3.25,3.5)",583.6989839536338,1.3270189723276704,2.0815009446796346,3.1987278744108383,0.0021443890113898596,0.007168097525448689,7.162643670390037e-05
active30,41,"[500,800)","[3.5,3.75)",334.7364833229107,1.9368322678924215,3.139312398894548,4.927909788515858,0.006250247235948968,0.008727530915588703,0.0008801213151018484
active30,42,"[500,800)","[3.75,4.0)",78.381977540527,2.342631740423808,4.821646504930715,8.363221527797778,0.030383133858614336,0.040123979491099214,0.0664963882891275
active30,43,"[500,800)","[4.0,4.25)",17.563418317733316,3.9072226993813324,8.829804634662707,16.150775925289423,0.024195060497708566,0.02942196411713143,0.4923201006274409
active30,52,"[800,1100)","[3.25,3.5)",133.11039633154903,1.9889555493853697,2.913856310338506,4.231812068230116,0.0,0.0,4.3551082032889294e-05
active30,53,"[800,1100)","[3.5,3.75)",192.84966963782153,2.7356325129237105,4.06272259883684,5.9964959459888165,0.0007241219541665497,0.0009857768822656636,0.0032367302591643178
active30,54,"[800,1100)","[3.75,4.0)",92.09200759510345,3.71950024843524,5.841275898411806,8.856188933643894,0.009497308337947681,0.01252525800534664,0.09458314412320332
active30,55,"[800,1100)","[4.0,4.25)",19.434470877886206,4.946813828811169,8.708560989257935,15.048369548529298,0.01754913835956815,0.02099661087107803,0.47634938882852795
active30,65,"[1100,2000)","[3.5,3.75)",72.97556526599168,3.80618279483437,5.423608097467315,8.023416505995337,0.0,0.0,0.03646263161335859
active30,66,"[1100,2000)","[3.75,4.0)",98.7144645550388,5.298749388410879,7.806533718662397,11.526145747117535,0.0011447320793517405,0.0013577709482702578,0.3189323205579164
active30,67,"[1100,2000)","[4.0,4.25)",59.60296599896519,7.567361137676857,11.636607252497726,17.376560890930325,0.005345844608877216,0.007960002997053874,0.8000738768764963
active30,68,"[1100,2000)","[4.25,4.5)",22.980867380836493,11.098756998144765,17.48905974835159,26.801535946439255,0.011070251610974713,0.014857643757721304,0.956045258142899
active30,69,"[1100,2000)","[4.5,4.75)",4.545350931533237,10.451033725922205,25.282990453462094,42.47347292240061,0.04910753862231009,0.06345307064701672,0.9066069031797623
active30,81,"[2000,3000)","[4.5,4.75)",5.247519449693707,26.606172126879386,41.206413484493524,65.87502405996045,0.0,0.0,1.0
active30,82,"[2000,3000)","[4.75,5.0)",2.608417826008654,38.86188942003913,61.31517383485985,88.91390639703293,0.003501732582836776,0.003501732582836776,0.9964982674171632
active30,83,"[2000,3000)","[5,6)",0.9300025648497152,0.5052990707279655,86.53537605259487,159.32978281174988,0.0786562325953,0.13454940545701416,0.8456817801498654
drop4,1,"[125,200)","[2,2.5)",826.6158471987316,0.14258759071578012,0.28929701068184926,0.5619247226750929,0.7937868547535097,0.9864515900674826,0.00038937166909854736
drop4,2,"[125,200)","[2.5,3)",2334.4618805638456,0.2699169833385135,0.5582771900850924,1.0467575453033633,0.33732132566030765,0.8376566414696297,0.0005687008807000783
drop4,3,"[125,200)","[3,3.25)",375.0294023217002,0.48675313889735444,1.0492457880454018,1.9697817904583976,0.08279208726728586,0.3706944039573743,0.0012297064948313902
drop4,14,"[200,300)","[2.5,3)",1789.926154425639,0.33280484846766256,0.6440469031691208,1.1055320997295492,0.2327812339455113,0.7730812554447842,0.0001955056852431822
drop4,15,"[200,300)","[3,3.25)",684.5883506559877,0.6163768956291539,1.1080441122892857,1.8191968937962282,0.03653196214479433,0.2987273959759607,0.0005597321137501548
drop4,16,"[200,300)","[3.25,3.5)",212.71138711386155,0.8218092761429323,1.74517769238612,3.0954213420247156,0.041867771776140386,0.11562626816693095,0.001098952467058588
drop4,26,"[300,500)","[2.5,3)",629.1194873976915,0.4424090993685073,0.7483564894260019,1.221541059291724,0.1033213022610938,0.6798799750072995,2.8159262498356916e-05
drop4,27,"[300,500)","[3,3.25)",1048.802390567327,0.7372281335393827,1.197664307185657,1.8428489161498387,0.008372972632246593,0.21381114069153498,0.00014354841129497373
drop4,28,"[300,500)","[3.25,3.5)",608.0046981650544,1.0692129923209732,1.802588877243058,2.8044599085935857,0.013402547080580763,0.04930136672146203,0.00028541582688114474
drop4,29,"[300,500)","[3.5,3.75)",164.59855536807527,1.4359451954103253,2.870200387226249,4.962313384018562,0.02643366192443437,0.04279357405024957,0.0028641921149731965
drop4,30,"[300,500)","[3.75,4.0)",56.19869028818847,2.1550661317886317,5.2741791637581965,9.045037696961804,0.031756640414552756,0.04480623261244234,0.1041259058906645
drop4,40,"[500,800)","[3.25,3.5)",583.6989839536338,1.3270189723276704,2.0815009446796346,3.1987278744108383,0.0021443890113898596,0.007168097525448689,7.162643670390037e-05
drop4,41,"[500,800)","[3.5,3.75)",334.7364833229107,1.9368322678924215,3.139312398894548,4.927909788515858,0.006250247235948968,0.008727530915588703,0.0008801213151018484
drop4,42,"[500,800)","[3.75,4.0)",78.381977540527,2.342631740423808,4.821646504930715,8.363221527797778,0.030383133858614336,0.040123979491099214,0.0664963882891275
drop4,52,"[800,1100)","[3.25,3.5)",133.11039633154903,1.9889555493853697,2.913856310338506,4.231812068230116,0.0,0.0,4.3551082032889294e-05
drop4,53,"[800,1100)","[3.5,3.75)",192.84966963782153,2.7356325129237105,4.06272259883684,5.9964959459888165,0.0007241219541665497,0.0009857768822656636,0.0032367302591643178
drop4,54,"[800,1100)","[3.75,4.0)",92.09200759510345,3.71950024843524,5.841275898411806,8.856188933643894,0.009497308337947681,0.01252525800534664,0.09458314412320332
drop4,55,"[800,1100)","[4.0,4.25)",19.434470877886206,4.946813828811169,8.708560989257935,15.048369548529298,0.01754913835956815,0.02099661087107803,0.47634938882852795
drop4,65,"[1100,2000)","[3.5,3.75)",72.97556526599168,3.80618279483437,5.423608097467315,8.023416505995337,0.0,0.0,0.03646263161335859
drop4,66,"[1100,2000)","[3.75,4.0)",98.7144645550388,5.298749388410879,7.806533718662397,11.526145747117535,0.0011447320793517405,0.0013577709482702578,0.3189323205579164
drop4,67,"[1100,2000)","[4.0,4.25)",59.60296599896519,7.567361137676857,11.636607252497726,17.376560890930325,0.005345844608877216,0.007960002997053874,0.8000738768764963
drop4,68,"[1100,2000)","[4.25,4.5)",22.980867380836493,11.098756998144765,17.48905974835159,26.801535946439255,0.011070251610974713,0.014857643757721304,0.956045258142899
drop4,69,"[1100,2000)","[4.5,4.75)",4.545350931533237,10.451033725922205,25.282990453462094,42.47347292240061,0.04910753862231009,0.06345307064701672,0.9066069031797623
drop4,81,"[2000,3000)","[4.5,4.75)",5.247519449693707,26.606172126879386,41.206413484493524,65.87502405996045,0.0,0.0,1.0
drop4,82,"[2000,3000)","[4.75,5.0)",2.608417826008654,38.86188942003913,61.31517383485985,88.91390639703293,0.003501732582836776,0.003501732582836776,0.9964982674171632
drop4,83,"[2000,3000)","[5,6)",0.9300025648497152,0.5052990707279655,86.53537605259487,159.32978281174988,0.0786562325953,0.13454940545701416,0.8456817801498654
nhit_only,1,"[125,200)",all,1020.4792961372078,0.14258759071578012,0.2892970106818492,0.561924722675093,0.7937868547535097,0.9864515900674826,0.00038937166909854736
nhit_only,2,"[200,300)",all,2768.9031386076813,0.26991698333851355,0.5582771900850925,1.0467575453033635,0.33732132566030765,0.8376566414696297,0.0005687008807000782
nhit_only,3,"[300,500)",all,475.0535961939621,0.4867531388973544,1.0492457880454016,1.9697817904583967,0.08279208726728587,0.37069440395737435,0.0012297064948313906
nhit_only,4,"[500,800)",all,216.43799167138474,0.6246962430306262,1.7620636154676712,3.3457342620200374,0.07287995508547723,0.15967016062643993,0.002052696232279423
nhit_only,5,"[800,1100)",all,131.1622680716988,1.2069039357844793,3.052336700468129,5.5517512547743095,0.0441362889349062,0.07457224689181831,0.011440214180616136
nhit_only,6,"[1100,2000)",all,68.45023374727288,1.7136564511250703,5.036444518982695,9.413750019599282,0.048707792615703835,0.06869025202189008,0.11463391137931916
nhit_only,7,"[2000,3000)",all,31.857630218479216,2.2608502839775353,8.274341328930676,16.343626269602872,0.04512590782580635,0.06608734881073225,0.4403549325041573
