selector,nhit_bin,cells,total_required_delta_b,total_b_on,required_delta_b_over_b,total_excess,total_expected_counts,observed_over_expected
active30,"[125,200)",4,1758.6157611565723,73172.98413659741,0.02403367556902742,5443.015863402573,3684.400102246001,1.477314002918555
active30,"[200,300)",4,1398.3019224110803,16146.642921380924,0.08660016383712114,4179.357078619075,2781.055156207994,1.5027954657029112
active30,"[300,500)",5,1078.5014533536307,5000.774724860032,0.21566687417294472,3585.225275139969,2506.7238217863387,1.4302434292841522
active30,"[500,800)",5,266.7663278829453,1044.405848882752,0.25542400798340725,1514.5941511172482,1247.827823234303,1.213784564597623
active30,"[800,1100)",4,76.0286782250221,197.48477733261765,0.38498500619604364,513.5152226673823,437.4865444423602,1.1737851808035187
active30,"[1100,2000)",5,22.61986858034889,86.56091728728576,0.26131733915522337,281.43908271271425,258.81921413236535,1.087396403919149
active30,"[2000,3000)",3,7.667971379513187,21.546088779934742,0.35588692954120515,16.453911220065258,8.785939840552071,1.8727548240338696
drop4,"[125,200)",3,1895.2053378024868,65607.68753211322,0.028886940068948992,5431.312467886768,3536.1071300842814,1.5359581223313545
drop4,"[200,300)",3,1386.6703339224805,13811.103773882034,0.1004025714834459,4073.896226117965,2687.225892195484,1.5160229878514457
drop4,"[300,500)",5,1078.5014533536307,5000.774724860032,0.21566687417294472,3585.225275139969,2506.7238217863387,1.4302434292841522
drop4,"[500,800)",3,204.23936596530356,750.9431892176251,0.2719771201042407,1201.056810782375,996.8174448170714,1.2048914442932768
drop4,"[800,1100)",4,76.0286782250221,197.48477733261765,0.38498500619604364,513.5152226673823,437.4865444423602,1.1737851808035187
drop4,"[1100,2000)",5,22.61986858034889,86.56091728728576,0.26131733915522337,281.43908271271425,258.81921413236535,1.087396403919149
drop4,"[2000,3000)",3,7.667971379513187,21.546088779934742,0.35588692954120515,16.453911220065258,8.785939840552071,1.8727548240338696
nhit_only,"[125,200)",1,865.0172784162056,85450.50342544659,0.010123021442125398,1885.4965745534137,1020.479296137208,1.847657842437893
nhit_only,"[200,300)",1,910.597007138997,21458.499854253318,0.042435259376181714,3679.5001457466824,2768.9031386076854,1.328865605460248
nhit_only,"[300,500)",1,3971.314777111449,6680.631626694589,0.5944519918210723,4446.368373305411,475.0535961939621,9.359719427300115
nhit_only,"[500,800)",1,1768.0824422156943,1487.4795661129206,1.188643180380652,1984.5204338870794,216.43799167138505,9.16900225585234
nhit_only,"[800,1100)",1,610.2821096252405,177.5556223030607,3.4371319911434903,741.4443776969393,131.1622680716988,5.65287859532617
nhit_only,"[1100,2000)",1,269.6918873776385,45.8578788750886,5.881037108415919,338.1421211249114,68.45023374727289,4.939970291020128
nhit_only,"[2000,3000)",1,-3.625892218644495,10.768262000165333,-0.3367202821206267,28.231737999834667,31.857630218479162,0.8861844966565882
