cell_id,nhit_bin,predE_bin,N_on,B_on,excess,error_conservative,logpar_model,logpar_pull,stagef_model_ratio,official_expected_aperture_response,ratio_aperture_response,fit_minus_official_pass5_aperture_counts,fit_vs_official_pass5_aperture_pull,required_delta_b_over_b_aperture_response,offsource_mean_sigma,offsource_min_sigma,offsource_max_sigma,offsource_mean_excess,events,aperture_kept_fraction,truth_range_events,effective_events,core_fit_effective_events,theta_missing_crab_probability_mass,sigma_deg,r_opt_deg,stageb_containment_r_opt,r68_deg,r90_deg,containment_warning,psf_borrowed,empirical_significance,fit_reliable,sigma_obs_over_mc,r68_obs_over_mc,profile_residual_rms,true_e50_tev,frac_below_pass5_min,frac_below_1tev,frac_above_10tev
1,"[125,200)","[2,2.5)",21284,20166.67191083177,1117.3280891682298,203.59438084296866,1339.7695506177995,-1.0925717130726595,0.8339703560608638,1190.4945543770737,0.938541117269429,-73.16646520884387,-0.3593736963952694,-0.0036280882404570313,-10.737161299149022,-11.724446387276119,-9.749876211021926,-483.4357101922392,186591,0.7484230214747764,136205,10049.355361417085,36705.80001154325,0.0,0.4946882217858937,0.7816073904217121,0.5589009608674496,1.2875260078480695,47.496297923203976,True,False,5.48801044774423,1,0.7445055277790533,0.4318203611627745,0.3424102307347978,0.28929701068184926,0.7937868547535097,0.9864515900674826,0.00038937166909854736
2,"[125,200)","[2.5,3)",40293,36636.02456968762,3656.9754303123773,277.36082017777426,3132.7673476234922,1.8899860562601962,1.1673306774876047,2779.8193230031366,1.3155442873753458,877.1561073092407,3.162509062192086,0.023942447839577913,-18.591920133067646,-19.237426546946264,-17.946413719189025,-1117.8657317238951,418034,0.7076410052770827,295653,69268.58736294089,99475.3418262885,0.0,0.4564227809081985,0.7211479938349536,0.6565228976875297,0.7636242802610137,29.683864008021033,False,False,13.18490271253323,1,0.8572492351991611,0.7734893551570077,0.16824634599623486,0.5582771900850924,0.33732132566030765,0.8376566414696297,0.0005687008807000783
3,"[125,200)","[3,3.25)",9462,8804.991051593839,657.0089484061609,135.1554329340624,443.50526368195426,1.5796899916584755,1.4814005654672773,408.8878176227195,1.6068195727278491,248.1211307834414,1.835820620725554,0.02817960056172092,-4.794674227822843,-5.717559639036506,-3.8717888166091803,-150.56936580097158,88759,0.654919501121013,58121,34633.86753570015,31312.731257753596,0.0,0.4986199933179483,0.7878195894423584,0.6549341485205525,0.8450322051865932,21.64622024501489,False,False,4.861136057524914,0,0.7254728227710241,0.6462152732693018,0.344523911163852,1.0492457880454018,0.08279208726728586,0.3706944039573743,0.0012297064948313902
14,"[200,300)","[2.5,3)",10510,8162.742528325416,2347.257471674584,136.64824378061144,2542.0596273299184,-1.42557379638255,0.9233683767441966,2271.0593625544752,1.0335517910172112,76.19810912010871,0.5576223082855325,0.00933486617465818,-7.357699789866807,-7.757304312843132,-6.958095266890482,-142.56465594521273,255726,0.784210443990834,200538,10947.62782614254,29412.240521333562,0.0,0.350787608994381,0.5542444222111219,0.6497152733310415,0.5932814809268997,38.71220283764855,False,False,17.177370207868186,1,0.9750820981277056,0.8703306051198896,0.19666055993412734,0.6440469031691208,0.2327812339455113,0.7730812554447842,0.0001955056852431822
15,"[200,300)","[3,3.25)",4457,3144.754706932895,1312.2452930671052,87.1880422244524,829.4025670917723,5.537946645622887,1.5821572600967209,767.4085088068825,1.7099696941167617,544.8367842602227,6.2489851860375865,0.1732525538666278,-4.93339919989098,-5.220956996160319,-4.64584140362164,-64.27251233606765,122642,0.7392899659170594,90668,21172.244750206977,26629.5394056838,0.0,0.34611909830415244,0.5468681753205609,0.7028691821618863,0.5222606927827262,6.40363619011822,False,False,15.050748469485397,1,0.9597922841630846,0.9602297300485834,0.15482735125387953,1.1080441122892857,0.03653196214479433,0.2987273959759607,0.0005597321137501548
16,"[200,300)","[3.25,3.5)",2918,2503.606538623724,414.3934613762758,73.63155939285629,257.56518379739805,2.1299056935916694,1.608887720252748,241.9765753897253,1.7125354415354355,172.4168859865505,2.341616657425815,0.06886740521189526,-2.8997603934640797,-4.2365834585691005,-1.5629373283590584,-37.749150362534095,55093,0.7729294102699072,42568,16719.2887296052,16157.610985516581,0.0,0.4612311255955477,0.7287451784409654,0.6853578214556817,0.7182450296693096,23.379952575407966,False,False,5.627932707024539,1,0.6348777296010917,0.6154541407416345,0.3302132739138978,1.74517769238612,0.041867771776140386,0.11562626816693095,0.001098952467058588
26,"[300,500)","[2.5,3)",1834,1008.1763984630026,825.8236015369974,53.31206616201442,952.4781802210179,-2.3757206914307054,0.8670262675680078,860.182911404161,0.9600558097450744,-34.359309867163574,-0.6444940581133405,-0.03408065286942389,-2.890582830139497,-2.9243350758997986,-2.8568305843791957,-13.790355512680922,80182,0.7766331595619964,62271,807.0895610866775,3792.7285954926433,0.020829609891627538,0.26671590148372154,0.42141112434428,0.5843835633911358,0.5243837184314291,43.0588565913167,True,False,15.490369460214396,1,1.0117708794536815,0.7768578178122393,0.1655060255455321,0.7483564894260019,0.1033213022610938,0.6798799750072995,2.8159262498356916e-05
27,"[300,500)","[3,3.25)",3067,1545.419045004803,1521.580954995197,67.91479253450461,1430.882423120127,1.3354753580229233,1.0633864323228575,1329.8369087587616,1.1441861366409245,191.74404623643545,2.823303128534457,0.12407252703155314,-2.2261831971540333,-2.7697867586884173,-1.682579635619649,-15.177249919063188,151506,0.7530658851794648,114093,4796.24503426343,15669.358988859383,0.0,0.2506925644004648,0.3960942517527343,0.6196183744876244,0.4464733044577372,42.43579147868897,False,False,22.404264199469456,1,1.1287972481014046,0.9568008698582028,0.1484493547962431,1.197664307185657,0.008372972632246593,0.21381114069153498,0.00014354841129497373
28,"[300,500)","[3.25,3.5)",1706,905.5029146436214,800.4970853563786,51.10286601203128,720.8720854954908,1.5581317854490113,1.1104564893869593,677.9500923150175,1.1807610831984638,122.54699304136113,2.3980454053694285,0.13533583499241628,-1.7982860527604205,-2.288743929397506,-1.3078281761233352,-10.494142952587671,112141,0.7554061404838551,84712,11407.744140751092,15861.435675403605,0.0,0.2630475256256551,0.41561509048853507,0.7103378415602245,0.39468575094079306,0.8537484158190003,False,False,15.664426436824806,1,0.963507579857613,0.9693877756483028,0.117316884402273,1.802588877243058,0.013402547080580763,0.04930136672146203,0.00028541582688114474
29,"[300,500)","[3.5,3.75)",1088,755.9538111908837,332.0461888091163,42.9412832969729,202.80116670706394,3.0098080955853352,1.6372992039475802,194.10731113373853,1.7106320564109967,137.93887767537777,3.212267242257793,0.18246998114617247,-2.0266574242220905,-2.972610532205885,-1.0807043162382959,-11.359171958480957,46983,0.8673349935082902,40740,10705.438977583095,11041.473153644009,0.0,0.4099663378372054,0.6477468137827845,0.7223257577318322,0.5592714997406719,21.34994304143617,False,False,7.732563242527117,1,0.7702957290254532,0.8523984277366653,0.2654846253070128,2.870200387226249,0.02643366192443437,0.04279357405024957,0.0028641921149731965
