nhit_bin,left_cell,left_predE,right_cell,right_predE,true_energy_overlap,high_overlap_flag
"[2000,3000)",81,"[4.5,4.75)",82,"[4.75,5.0)",0.568246462994794,True
"[800,1100)",52,"[3.25,3.5)",53,"[3.5,3.75)",0.5614543192886421,True
"[200,300)",15,"[3,3.25)",16,"[3.25,3.5)",0.5578881529412881,True
"[800,1100)",54,"[3.75,4.0)",55,"[4.0,4.25)",0.5554745124135131,True
"[800,1100)",53,"[3.5,3.75)",54,"[3.75,4.0)",0.5479567803743184,True
"[300,500)",27,"[3,3.25)",28,"[3.25,3.5)",0.5445320381818242,True
"[1100,2000)",65,"[3.5,3.75)",66,"[3.75,4.0)",0.5439434953546332,True
"[2000,3000)",82,"[4.75,5.0)",83,"[5,6)",0.5431170804520494,True
"[300,500)",28,"[3.25,3.5)",29,"[3.5,3.75)",0.536237599274512,True
"[500,800)",41,"[3.5,3.75)",42,"[3.75,4.0)",0.5357182726102463,True
"[125,200)",1,"[2,2.5)",2,"[2.5,3)",0.535361532804425,True
"[500,800)",40,"[3.25,3.5)",41,"[3.5,3.75)",0.5344191716107206,True
"[1100,2000)",68,"[4.25,4.5)",69,"[4.5,4.75)",0.5251531961115365,True
"[300,500)",26,"[2.5,3)",27,"[3,3.25)",0.511209561977831,True
"[200,300)",14,"[2.5,3)",15,"[3,3.25)",0.5037918023838531,True
"[1100,2000)",66,"[3.75,4.0)",67,"[4.0,4.25)",0.5034027682859287,True
"[1100,2000)",67,"[4.0,4.25)",68,"[4.25,4.5)",0.5032983121017329,True
"[300,500)",29,"[3.5,3.75)",30,"[3.75,4.0)",0.49965864221524603,False
"[125,200)",2,"[2.5,3)",3,"[3,3.25)",0.4746662052377284,False
