mode,fraction,prior_sigma,chi2,ndof,chi2_over_ndof,penalty,profile_chi2,profile_chi2_over_ndof,phi0,alpha,beta,max_abs_pull
left,0.0,0.1,117.29485852619563,23,5.099776457660679,0.0,117.29485852619563,5.099776457660679,2.3678384316162437e-12,2.76152182132255,0.1453590035940586,5.537946645622887
left,0.01,0.1,110.64326692895465,23,4.810576822998028,0.009999999999999998,110.65326692895465,4.811011605606724,2.3653542058703217e-12,2.764795257643396,0.14356987357733259,5.304596313314422
left,0.02,0.1,104.4353052593955,23,4.540665446060674,0.039999999999999994,104.47530525939551,4.542404576495457,2.3625677166370703e-12,2.7680256343990193,0.14182799812744606,5.069229104410732
left,0.03,0.1,98.68375547717055,23,4.290598064224807,0.09,98.77375547717055,4.294511107703068,2.3595143921514462e-12,2.7712876301556104,0.14018474116175467,4.8317209468629985
left,0.04,0.1,93.40111772912181,23,4.060918162135731,0.15999999999999998,93.5611177291218,4.067874683874861,2.3559748311696935e-12,2.774480582188158,0.13859147269866393,4.593678023395533
left,0.05,0.1,88.59946896382344,23,3.8521508245140628,0.25,88.84946896382344,3.863020389731454,2.3524396433020038e-12,2.7774729321754097,0.13692526251494413,4.3529938738037215
left,0.06,0.1,84.29066604384734,23,3.6648115671237975,0.36,84.65066604384734,3.680463741036841,2.348479306627899e-12,2.780537588146648,0.1354037768920072,4.111622433604899
left,0.07,0.1,80.48602277829877,23,3.499392294708642,0.4900000000000001,80.97602277829877,3.520696642534729,2.3439208551153355e-12,2.783485683791376,0.13381021607172927,3.8697990984713564
left,0.08,0.1,77.19628021926269,23,3.3563600095331605,0.6399999999999999,77.83628021926269,3.384186096489682,2.3395455324513212e-12,2.7864079000786184,0.13244248943331896,3.6271999926656675
left,0.09,0.1,74.43180516153774,23,3.2361654418059884,0.8099999999999998,75.24180516153774,3.2713828331103367,2.334805125865424e-12,2.789366646613373,0.13109212215531307,3.460272741919468
left,0.1,0.1,72.20228681592484,23,3.1392298615619496,1.0,73.20228681592484,3.1827081224315146,2.3297868162856915e-12,2.7918044648819706,0.12962049726568659,3.405343172308052
