selector,spectrum,cell_id,nhit_bin,predE_bin,excess,official_expected_counts,observed_over_expected,excess_minus_expected,pull_conservative
strict20,official_pass5,1,"[125,200)","[2,2.5)",1117.3280891682298,1190.4945543770737,0.938541117269429,-73.16646520884387,-0.3593736963952694
strict20,official_pass5,2,"[125,200)","[2.5,3)",3656.9754303123773,2779.8193230031366,1.3155442873753458,877.1561073092407,3.162509062192086
strict20,official_pass5,3,"[125,200)","[3,3.25)",657.0089484061609,408.8878176227195,1.6068195727278491,248.1211307834414,1.835820620725554
strict20,official_pass5,14,"[200,300)","[2.5,3)",2347.257471674584,2271.0593625544752,1.0335517910172112,76.19810912010871,0.5576223082855325
strict20,official_pass5,15,"[200,300)","[3,3.25)",1312.2452930671052,767.4085088068825,1.7099696941167617,544.8367842602227,6.2489851860375865
strict20,official_pass5,16,"[200,300)","[3.25,3.5)",414.3934613762758,241.9765753897253,1.7125354415354355,172.4168859865505,2.341616657425815
strict20,official_pass5,26,"[300,500)","[2.5,3)",825.8236015369974,860.182911404161,0.9600558097450744,-34.359309867163574,-0.6444940581133405
strict20,official_pass5,27,"[300,500)","[3,3.25)",1521.580954995197,1329.8369087587616,1.1441861366409245,191.74404623643545,2.823303128534457
strict20,official_pass5,28,"[300,500)","[3.25,3.5)",800.4970853563786,677.9500923150175,1.1807610831984638,122.54699304136113,2.3980454053694285
strict20,official_pass5,29,"[300,500)","[3.5,3.75)",332.0461888091163,194.10731113373853,1.7106320564109967,137.93887767537777,3.212267242257793
strict20,official_pass5,30,"[300,500)","[3.75,4.0)",105.27744444227983,62.756729538362926,1.6775482918995033,42.520714903916904,1.038412612606362
strict20,official_pass5,40,"[500,800)","[3.25,3.5)",758.121180063778,768.4358065571563,0.9865771136569088,-10.314626493378341,-0.26183313352788967
strict20,official_pass5,41,"[500,800)","[3.5,3.75)",363.4486411893382,372.2167098277472,0.9764436458468868,-8.768068638408977,-0.31919754182614946
strict20,official_pass5,42,"[500,800)","[3.75,4.0)",79.48698952925884,91.54534040940139,0.8682800148405565,-12.058350880142555,-0.6055628106117587
strict20,official_pass5,53,"[800,1100)","[3.5,3.75)",207.45185401129478,218.7609410733584,0.9483039019370864,-11.309087062063611,-0.602307581572787
strict20,official_pass5,54,"[800,1100)","[3.75,4.0)",96.97117325892498,96.15988689292773,1.0084368481724673,0.8112863659972476,0.056384374516229706
strict20,official_pass5,66,"[1100,2000)","[3.75,4.0)",110.29316035381666,105.72121453189696,1.0432453017321353,4.571945821919698,0.3711919034590627
strict20,official_pass5,67,"[1100,2000)","[4.0,4.25)",75.16262420611811,63.86368538841751,1.1769227495873549,11.298938817700602,1.0732342890255646
strict20,official_pass5,68,"[1100,2000)","[4.25,4.5)",23.9886827604404,23.44335360370655,1.0232615676900265,0.5453291567338496,0.06816011841758884
