selector,spectrum,nhit_bin,cells,N_on,B_on,excess,official_expected_counts,observed_over_expected,N_on_over_B_on
strict20,official_pass5,"[125,200)",3,71039.0,65607.68753211322,5431.312467886768,4379.20169500293,1.2402517276343752,1.0827846960042342
strict20,official_pass5,"[200,300)",3,17885.0,13811.103773882034,4073.896226117965,3280.444446751083,1.2418732559707597,1.2949725302782857
strict20,official_pass5,"[300,500)",5,8586.0,5000.774724860032,3585.225275139969,3124.833953150042,1.1473330515772917,1.716933969714126
strict20,official_pass5,"[500,800)",3,1952.0,750.9431892176251,1201.056810782375,1232.197856794305,0.9747272356949663,2.5993977014875167
strict20,official_pass5,"[800,1100)",2,432.0,127.57697272978024,304.4230272702198,314.92082796628614,0.9666652702399532,3.386191024574754
strict20,official_pass5,"[1100,2000)",4,314.0,77.48427026964971,236.51572973035033,198.05945323516283,1.1941653168633513,4.052435402789004
baseline26,official_pass5,"[125,200)",3,71039.0,65607.68753211322,5431.312467886768,4379.20169500293,1.2402517276343752,1.0827846960042342
baseline26,official_pass5,"[200,300)",3,17885.0,13811.103773882034,4073.896226117965,3280.444446751083,1.2418732559707597,1.2949725302782857
baseline26,official_pass5,"[300,500)",5,8586.0,5000.774724860032,3585.225275139969,3124.833953150042,1.1473330515772917,1.716933969714126
baseline26,official_pass5,"[500,800)",3,1952.0,750.9431892176251,1201.056810782375,1232.197856794305,0.9747272356949663,2.5993977014875167
baseline26,official_pass5,"[800,1100)",4,711.0,197.48477733261765,513.5152226673823,486.78220804459943,1.054917813718314,3.6002774978573875
baseline26,official_pass5,"[1100,2000)",5,368.0,86.56091728728576,281.43908271271425,274.5991910630405,1.0249086372876586,4.251341269624606
baseline26,official_pass5,"[2000,3000)",3,38.0,21.546088779934742,16.453911220065258,9.11182379264999,1.805775835276548,1.7636611631985994
loose36,official_pass5,"[125,200)",4,78616.0,73172.98413659741,5443.015863402573,4534.224421158232,1.2004293034115407,1.0743855936398836
loose36,official_pass5,"[200,300)",5,20361.0,16173.297879792728,4187.702120207272,3377.6920185457725,1.2398117108410138,1.2589269146795026
loose36,official_pass5,"[300,500)",7,9148.0,5598.887975970109,3549.1120240298915,3154.801048870223,1.1249875884569256,1.6338958806217125
loose36,official_pass5,"[500,800)",6,2569.0,1055.4526894635003,1513.5473105365,1557.9743364495926,0.9714841092862058,2.434026674663982
loose36,official_pass5,"[800,1100)",6,754.0,223.60573981709553,530.3942601829044,490.6651571730217,1.0809698883833179,3.3720064637730456
loose36,official_pass5,"[1100,2000)",5,368.0,86.56091728728576,281.43908271271425,274.5991910630405,1.0249086372876586,4.251341269624606
loose36,official_pass5,"[2000,3000)",3,38.0,21.546088779934742,16.453911220065258,9.11182379264999,1.805775835276548,1.7636611631985994
