cell,nhit,predE,excess,err,pull_orig_logpar,pull_v5p2_withK
1,"[125,200)","[2,2.5)",1117.3,203.6,-1.093,-1.782
2,"[125,200)","[2.5,3)",3657.0,277.4,1.890,0.706
3,"[125,200)","[3,3.25)",657.0,135.2,1.580,1.236
14,"[200,300)","[2.5,3)",2347.3,136.6,-1.426,-3.706
15,"[200,300)","[3,3.25)",1312.2,87.2,5.538,4.570
16,"[200,300)","[3.25,3.5)",414.4,73.6,2.130,1.467
26,"[300,500)","[2.5,3)",825.8,53.3,-2.376,-3.520
27,"[300,500)","[3,3.25)",1521.6,67.9,1.335,0.402
28,"[300,500)","[3.25,3.5)",800.5,51.1,1.558,0.963
29,"[300,500)","[3.5,3.75)",332.0,42.9,3.010,2.347
30,"[300,500)","[3.75,4.0)",105.3,40.9,1.046,0.253
40,"[500,800)","[3.25,3.5)",758.1,39.4,-1.413,1.160
41,"[500,800)","[3.5,3.75)",363.4,27.5,-0.886,0.273
42,"[500,800)","[3.75,4.0)",79.5,19.9,-0.614,-2.672
52,"[800,1100)","[3.25,3.5)",142.2,14.3,-1.080,-0.815
53,"[800,1100)","[3.5,3.75)",207.5,18.8,-0.904,-0.190
54,"[800,1100)","[3.75,4.0)",97.0,14.4,0.169,-0.584
55,"[800,1100)","[4.0,4.25)",66.9,12.0,3.971,1.980
65,"[1100,2000)","[3.5,3.75)",44.9,7.9,-3.924,-3.652
66,"[1100,2000)","[3.75,4.0)",110.3,12.3,0.887,1.148
67,"[1100,2000)","[4.0,4.25)",75.2,10.5,1.912,0.831
68,"[1100,2000)","[4.25,4.5)",24.0,8.0,0.776,-1.059
69,"[1100,2000)","[4.5,4.75)",27.1,8.1,2.963,1.811
81,"[2000,3000)","[4.5,4.75)",4.1,2.8,0.489,-0.415
82,"[2000,3000)","[4.75,5.0)",4.2,4.2,0.747,-1.397
83,"[2000,3000)","[5,6)",8.1,5.8,1.352,1.213
