cell,nhit,predE,pull_orig,pull_v5p3
1,"[125,200)","[2,2.5)",-1.093,-0.077
2,"[125,200)","[2.5,3)",1.890,0.013
3,"[125,200)","[3,3.25)",1.580,0.062
14,"[200,300)","[2.5,3)",-1.425,-0.097
15,"[200,300)","[3,3.25)",5.538,0.309
16,"[200,300)","[3.25,3.5)",2.130,0.131
26,"[300,500)","[2.5,3)",-2.375,-0.330
27,"[300,500)","[3,3.25)",1.336,0.136
28,"[300,500)","[3.25,3.5)",1.558,0.223
29,"[300,500)","[3.5,3.75)",3.010,0.347
30,"[300,500)","[3.75,4.0)",1.046,0.104
40,"[500,800)","[3.25,3.5)",-1.412,-0.196
41,"[500,800)","[3.5,3.75)",-0.886,-0.200
42,"[500,800)","[3.75,4.0)",-0.615,-0.245
52,"[800,1100)","[3.25,3.5)",-1.080,0.296
53,"[800,1100)","[3.5,3.75)",-0.904,0.497
54,"[800,1100)","[3.75,4.0)",0.169,-1.364
55,"[800,1100)","[4.0,4.25)",3.971,2.293
65,"[1100,2000)","[3.5,3.75)",-3.924,-0.767
66,"[1100,2000)","[3.75,4.0)",0.887,1.299
67,"[1100,2000)","[4.0,4.25)",1.912,-0.279
68,"[1100,2000)","[4.25,4.5)",0.775,-1.772
69,"[1100,2000)","[4.5,4.75)",2.963,1.698
81,"[2000,3000)","[4.5,4.75)",0.488,0.180
82,"[2000,3000)","[4.75,5.0)",0.747,0.270
83,"[2000,3000)","[5,6)",1.352,1.288
