cell,nhit,predE,excess,err_cons,off_sig,gated,sigma_sys,err_tot,pull_orig,pull_v5p4
1,"[125,200)","[2,2.5)",1117.33,203.59,-10.86,1,7974.22,7976.82,-1.093,-0.208
2,"[125,200)","[2.5,3)",3656.98,277.36,-18.43,1,17190.17,17192.41,1.890,-0.059
3,"[125,200)","[3,3.25)",657.01,135.16,-4.91,1,2361.57,2365.43,1.580,0.061
14,"[200,300)","[2.5,3)",2347.26,136.65,-7.34,1,4494.34,4496.42,-1.425,-0.265
15,"[200,300)","[3,3.25)",1312.25,87.19,-5.17,1,1770.00,1772.15,5.538,0.210
16,"[200,300)","[3.25,3.5)",414.39,73.63,-2.86,1,900.97,903.97,2.130,0.166
26,"[300,500)","[2.5,3)",825.82,53.31,-2.89,1,716.21,718.19,-2.375,-0.560
27,"[300,500)","[3,3.25)",1521.58,67.91,-2.21,1,680.43,683.81,1.336,-0.080
28,"[300,500)","[3.25,3.5)",800.50,51.10,-1.91,0,0.00,51.10,1.558,1.413
29,"[300,500)","[3.5,3.75)",332.05,42.94,-2.10,1,393.20,395.54,3.010,0.343
30,"[300,500)","[3.75,4.0)",105.28,40.95,-3.11,1,344.28,346.71,1.046,0.127
40,"[500,800)","[3.25,3.5)",758.12,39.39,-0.98,0,0.00,39.39,-1.412,-1.122
41,"[500,800)","[3.5,3.75)",363.45,27.47,-0.72,0,0.00,27.47,-0.886,-0.266
42,"[500,800)","[3.75,4.0)",79.49,19.91,-2.11,1,150.13,151.44,-0.615,-0.064
52,"[800,1100)","[3.25,3.5)",142.16,14.35,-12.14,1,30.63,33.82,-1.080,0.643
53,"[800,1100)","[3.5,3.75)",207.45,18.78,-0.37,0,0.00,18.78,-0.904,0.839
54,"[800,1100)","[3.75,4.0)",96.97,14.39,0.17,0,0.00,14.39,0.169,-1.703
55,"[800,1100)","[4.0,4.25)",66.94,11.96,-1.29,0,0.00,11.96,3.971,1.895
65,"[1100,2000)","[3.5,3.75)",44.92,7.94,-7.73,1,8.86,11.90,-3.924,0.296
66,"[1100,2000)","[3.75,4.0)",110.29,12.32,-0.50,0,0.00,12.32,0.887,2.008
67,"[1100,2000)","[4.0,4.25)",75.16,10.53,-0.45,0,0.00,10.53,1.912,-0.306
68,"[1100,2000)","[4.25,4.5)",23.99,8.00,-0.30,0,0.00,8.00,0.775,-2.339
69,"[1100,2000)","[4.5,4.75)",27.07,8.06,-0.94,0,0.00,8.06,2.963,1.235
81,"[2000,3000)","[4.5,4.75)",4.11,2.81,-0.21,0,0.00,2.81,0.488,0.843
82,"[2000,3000)","[4.75,5.0)",4.21,4.22,-0.33,0,0.00,4.22,0.747,0.109
83,"[2000,3000)","[5,6)",8.14,5.82,0.31,0,0.00,5.82,1.352,0.876
