point,group_id,group_label,E_p16_TeV,E_p50_TeV,E_p84_TeV,E2_dnde_TeV_cm2_s,E2_dnde_err_TeV_cm2_s,dnde_per_TeV_cm2_s,dnde_err_per_TeV_cm2_s,pull,ratio_to_pass5,cell_ids,predE_span,nhit_span
1,v5_01,1+2+3,0.2312921972566101,0.4479543531214044,0.8235424526848439,5.970411454048904e-11,4.0634884265271265e-12,2.9753409472135506e-10,2.0250302005191567e-11,-1.3703502900568512,1.3608507384212367,1;2;3,"[2,2.5)..[3,3.25)","[125,200)"
2,v5_02,4,1.0742051229261234,1.7948444792420988,2.8092318786342734,2.12124272189696e-12,2.230356865700431e-11,6.584710991501599e-13,6.9234205105086866e-12,-1.2137449195404049,0.07490213479522313,4,"[3.25,3.5)","[125,200)"
3,v5_03,14+15+16,0.4079415877783356,0.7178140639680446,1.2482782058184816,5.294191589581355e-11,2.3136232063713698e-12,1.0274855609752436e-10,4.490231223898359e-12,0.7905100703341833,1.2620843847020855,14;15;16,"[2.5,3)..[3.25,3.5)","[200,300)"
4,v5_04,17,1.897619827225222,3.1266694393599717,4.8443602359891,2.1300824055236628e-11,1.3959240774270021e-11,2.1788757608117188e-12,1.427900220363267e-12,0.11531744214266879,1.0861064578276036,17,"[3.5,3.75)","[200,300)"
5,v5_05,26+27+28+29,0.6661338523579724,1.146183510657947,1.9594120614481787,4.047660527905916e-11,1.269369854302305e-12,3.081028879262244e-11,9.662285541504324e-13,1.2109118781532329,1.1248383611771093,26;27;28;29,"[2.5,3)..[3.5,3.75)","[300,500)"
6,v5_06,30,3.06602315899138,5.210081789159568,8.075898680151944,2.2019593048690836e-11,8.564550165990318e-12,8.111855510413765e-13,3.1551170498282323e-13,1.0275768276338284,1.6792300333368575,30,"[3.75,4.0)","[300,500)"
7,v5_07,39+40+41+42,1.366952067727389,2.169484454733497,3.4888811452611916,2.4294546342759116e-11,9.377466417952658e-13,5.1617350506214176e-12,1.992381187640415e-13,-1.4317980533180668,0.9619138230430997,39;40;41;42,"[3,3.25)..[3.75,4.0)","[500,800)"
8,v5_08,43,5.162110539414963,8.700594581048078,13.684177386460341,1.1898590169614318e-11,7.079665939117173e-12,1.5718012913166888e-13,9.352224008532138e-14,0.47239542118880035,1.3966811107292159,43,"[4.0,4.25)","[500,800)"
9,v5_09,52+53+54+55,2.6585650832943526,3.9635150507228127,6.174957073774091,1.724203803889958e-11,1.01203167121866e-12,1.0975582423105365e-12,6.442183341199949e-14,0.7976991937342456,1.0504351296742656,52;53;54;55,"[3.25,3.5)..[4.0,4.25)","[800,1100)"
10,v5_10,65+66+67,5.0713085645527824,7.6464451503366035,11.93205960935979,8.910071532378766e-12,6.979015352811814e-13,1.5239195323180297e-13,1.193644492510368e-14,-0.9552833714595789,0.9314838505769413,65;66;67,"[3.5,3.75)..[4.0,4.25)","[1100,2000)"
11,v5_11,68+69,12.99043922197346,18.50374758908668,26.562793557033608,7.714262798080738e-12,1.7155682922246133e-12,2.2530718347128257e-14,5.010587143465376e-15,2.0309974536825908,1.5795727612306547,68;69,"[4.25,4.5)..[4.5,4.75)","[1100,2000)"
12,v5_12,81+82+83,31.502406197170504,46.82626791502462,73.6722691547893,3.3670356192025533e-12,1.579083811910433e-12,1.5355664666607274e-15,7.201551821393388e-16,1.1175828045279719,0.689434348996893,81;82;83,"[4.5,4.75)..[5,6)","[2000,3000)"
