analysis,left_group,right_group,left_cells,right_cells,overlap
v5_migration_12bin,1+2+3,4,1;2;3,4,0.214582576857022
v5_migration_12bin,4,14+15+16,4,14;15;16,0.38125406575201554
v5_migration_12bin,14+15+16,17,14;15;16,17,0.17274473232321896
v5_migration_12bin,17,26+27+28+29,17,26;27;28;29,0.32966932501219703
v5_migration_12bin,26+27+28+29,30,26;27;28;29,30,0.166837623666947
v5_migration_12bin,30,39+40+41+42,30,39;40;41;42,0.3718871669408362
v5_migration_12bin,39+40+41+42,43,39;40;41;42,43,0.1689255149639322
v5_migration_12bin,43,52+53+54+55,43,52;53;54;55,0.3995354286424356
v5_migration_12bin,52+53+54+55,65+66+67,52;53;54;55,65;66;67,0.43148732901702946
v5_migration_12bin,65+66+67,68+69,65;66;67,68;69,0.2608093374127711
v5_migration_12bin,68+69,81+82+83,68;69,81;82;83,0.20582629318525492
conservative_7bin,1+2+3,14+15+16,1;2;3,14;15;16,0.6899748313919445
conservative_7bin,14+15+16,26+27+28+29+30,14;15;16,26;27;28;29;30,0.6592857695906301
conservative_7bin,26+27+28+29+30,40+41+42,26;27;28;29;30,40;41;42,0.4312549259489813
conservative_7bin,40+41+42,52+53+54+55,40;41;42,52;53;54;55,0.5507607127763485
conservative_7bin,52+53+54+55,65+66+67+68+69,52;53;54;55,65;66;67;68;69,0.40842927695661435
conservative_7bin,65+66+67+68+69,81+82+83,65;66;67;68;69,81;82;83,0.06290120563595873
