cell_id,surface_order,donor_cell_ids,cv_deviance
1,2,1,{"best_order":2;"candidates":{"0":{"failed_fold_count":0;"fold_scores":[545.7492094933439;478.38505500555397;463.42672078283573;472.0015912231322;635.4467737340877;736.8099366212191;813.343570463029;726.5575356023752];"mean":608.9650491156972;"standard_error":48.84961268289966;"valid":true};"1":{"failed_fold_count":0;"fold_scores":[502.41173919666943;536.4154811346718;498.8601461985079;434.1107249010115;433.83902752162624;521.2144655190251;612.1358856898389;532.6166305883653];"mean":508.9505125937145;"standard_error":20.484896641613073;"valid":true};"2":{"failed_fold_count":0;"fold_scores":[478.2953676878141;474.7777127106702;456.31720262366804;415.21046832917636;394.24964253371155;457.90336832486264;553.2479691563444;513.2077818099875];"mean":467.9011891470293;"standard_error":17.892083876251007;"valid":true}};"failures":{"0":[];"1":[];"2":[]};"fold_contract":{"azimuth_sectors":8;"leave_one_donor_cell_out":false;"sector_zero_angle_rad":0.0};"one_se_threshold":485.79327302328034}
2,2,2,{"best_order":2;"candidates":{"0":{"failed_fold_count":0;"fold_scores":[505.3673742790429;468.13441277660104;479.73515082421306;457.0684799039881;548.9121740632111;581.4466662215737;446.11010951258464;501.11108903914953];"mean":498.48568207754545;"standard_error":16.481035444049954;"valid":true};"1":{"failed_fold_count":0;"fold_scores":[498.18507851447146;479.74593436570825;505.623940726344;456.32106697711833;494.24004156389515;510.22471532760176;406.63070970373565;456.4089279241923];"mean":475.92255188788334;"standard_error":12.299055432050745;"valid":true};"2":{"failed_fold_count":0;"fold_scores":[486.9076067847008;464.49266033781976;477.7902693474429;451.39098408570135;480.64411452821486;449.68728269456994;397.3089515607853;445.2807056401591];"mean":456.68782187242425;"standard_error":10.112231570164488;"valid":true}};"failures":{"0":[];"1":[];"2":[]};"fold_contract":{"azimuth_sectors":8;"leave_one_donor_cell_out":false;"sector_zero_angle_rad":0.0};"one_se_threshold":466.80005344258876}
3,1,3,{"best_order":2;"candidates":{"0":{"failed_fold_count":0;"fold_scores":[445.42571621136824;458.8582528790493;472.0788057359385;500.7719964088343;454.7625351980057;470.31954781445717;499.1864876532285;489.5829176623472];"mean":473.8732824454036;"standard_error":7.351963760730868;"valid":true};"1":{"failed_fold_count":0;"fold_scores":[445.31850683847745;459.1653834392672;473.6959155810116;501.15908533907407;454.56547722417827;468.97765444762433;497.28666016175595;489.03204195123925];"mean":473.65009062282854;"standard_error":7.258711818485377;"valid":true};"2":{"failed_fold_count":0;"fold_scores":[440.6520954664582;456.5013113565842;468.10913274496977;497.484517965308;454.0060229221574;464.0561454282714;488.6444954420385;482.75342055409243];"mean":469.02589273498495;"standard_error":6.809002416322717;"valid":true}};"failures":{"0":[];"1":[];"2":[]};"fold_contract":{"azimuth_sectors":8;"leave_one_donor_cell_out":false;"sector_zero_angle_rad":0.0};"one_se_threshold":475.83489515130765}
4,2,4,{"best_order":2;"candidates":{"0":{"failed_fold_count":0;"fold_scores":[594.8546207840226;623.816132248588;540.1469001351297;578.7164999600664;530.0083244391082;593.7091888296934;548.4709223403847;579.0588721333694];"mean":573.5976826087954;"standard_error":11.247690830243767;"valid":true};"1":{"failed_fold_count":0;"fold_scores":[598.700986250826;628.3914722553222;545.772127402972;578.9151408749183;527.4769365596034;586.0265474147811;542.1486712049156;578.3281296563699];"mean":573.2200014524635;"standard_error":11.746540768988208;"valid":true};"2":{"failed_fold_count":0;"fold_scores":[584.5757894117912;620.3469656669504;526.3064588851439;574.264283990459;499.0200593828963;556.0472496154454;522.7790142223338;562.5444548822038];"mean":555.735534507153;"standard_error":13.735393735385122;"valid":true}};"failures":{"0":[];"1":[];"2":[]};"fold_contract":{"azimuth_sectors":8;"leave_one_donor_cell_out":false;"sector_zero_angle_rad":0.0};"one_se_threshold":569.4709282425382}
5,2,5,{"best_order":2;"candidates":{"0":{"failed_fold_count":0;"fold_scores":[663.9308817010553;696.185190812145;646.0879057071506;728.9790693548251;755.4330202638905;705.2871304296475;656.8363236002789;641.0162770827502];"mean":686.7194748689678;"standard_error":14.695608957236045;"valid":true};"1":{"failed_fold_count":0;"fold_scores":[671.411806151667;707.153359857546;658.6119076773118;723.1177198491787;734.5826777939915;685.3844299532939;637.4659262993198;628.0105524284056];"mean":680.7172975013393;"standard_error":13.78653914094008;"valid":true};"2":{"failed_fold_count":0;"fold_scores":[609.7235114397645;676.8248662108552;626.1174332783223;690.9225376208159;658.4250063834558;629.9059204247644;606.4644880875856;570.6118115743669];"mean":633.6244468774913;"standard_error":14.087803844795076;"valid":true}};"failures":{"0":[];"1":[];"2":[]};"fold_contract":{"azimuth_sectors":8;"leave_one_donor_cell_out":false;"sector_zero_angle_rad":0.0};"one_se_threshold":647.7122507222864}
6,2,6,{"best_order":2;"candidates":{"0":{"failed_fold_count":0;"fold_scores":[845.1045081669694;846.6985266162236;894.3461891745822;947.0715455261347;944.0957449425136;972.8261677483297;848.4103157088227;933.2539225944058];"mean":903.9758650597478;"standard_error":18.415444975363027;"valid":true};"1":{"failed_fold_count":0;"fold_scores":[850.6817622133617;879.1191567814669;907.9062841039758;941.3290463870776;913.1274825661301;918.849815966709;809.2247663696972;915.184229579314];"mean":891.9278179959665;"standard_error":15.30404174329018;"valid":true};"2":{"failed_fold_count":0;"fold_scores":[797.8323315652589;780.0188268291424;820.4515330784142;798.5373444416257;813.8779770897178;773.8918034327937;708.9573802201198;813.524685611379];"mean":788.3864852835565;"standard_error":12.741434626473692;"valid":true}};"failures":{"0":[];"1":[];"2":[]};"fold_contract":{"azimuth_sectors":8;"leave_one_donor_cell_out":false;"sector_zero_angle_rad":0.0};"one_se_threshold":801.1279199100302}
15,1,15,{"best_order":2;"candidates":{"0":{"failed_fold_count":0;"fold_scores":[525.7383009350565;468.9873253753291;441.53725799170485;449.52145663718795;477.9038705195978;497.81858595731455;451.5267860684784;562.5989375046582];"mean":484.45406512366594;"standard_error":14.891326506518064;"valid":true};"1":{"failed_fold_count":0;"fold_scores":[508.13187533820775;469.060301224315;441.07135838376297;444.58145143094987;477.1692431413803;469.620326316856;426.7593776272675;520.2779559788651];"mean":469.58398618020055;"standard_error":11.484207951767955;"valid":true};"2":{"failed_fold_count":0;"fold_scores":[508.31257278482957;465.1366078796102;438.5726787184323;442.67899583463253;481.3789874842729;466.9291156953708;424.1641329965809;516.8085798164554];"mean":467.9977089012731;"standard_error":11.668354475785264;"valid":true}};"failures":{"0":[];"1":[];"2":[]};"fold_contract":{"azimuth_sectors":8;"leave_one_donor_cell_out":false;"sector_zero_angle_rad":0.0};"one_se_threshold":479.6660633770583}
16,1,16,{"best_order":0;"candidates":{"0":{"failed_fold_count":0;"fold_scores":[454.49654326189165;484.44224997694846;482.76871040628885;469.38118686161096;509.1559507198479;425.7595632832842;472.7190658054614;524.6053783488281];"mean":477.91608108302023;"standard_error":10.848460484752604;"valid":true};"1":{"failed_fold_count":0;"fold_scores":[453.73991695306574;484.7177012853713;482.2633693688517;469.617185841946;509.1839680572923;425.58505545649507;472.9617329957482;525.896926591276];"mean":477.99573206875584;"standard_error":10.988137168636037;"valid":true};"2":{"failed_fold_count":0;"fold_scores":[453.40067126867245;484.89020443366326;482.4341903498994;472.0318504829086;508.47896722119646;426.734943797695;473.7507157050847;526.5237483240219];"mean":478.5306614478927;"standard_error":10.8852077954747;"valid":true}};"failures":{"0":[];"1":[];"2":[]};"fold_contract":{"azimuth_sectors":8;"leave_one_donor_cell_out":false;"sector_zero_angle_rad":0.0};"one_se_threshold":488.7645415677728}
17,1,17,{"best_order":0;"candidates":{"0":{"failed_fold_count":0;"fold_scores":[439.8541571277649;467.4672848074329;532.4217174481334;491.9135761631284;490.47770831699887;436.0428615846786;478.6998689591377;447.2740138242183];"mean":473.01889852893663;"standard_error":11.482544272544764;"valid":true};"1":{"failed_fold_count":0;"fold_scores":[438.41642121717695;468.5046119193961;532.7049653308715;491.75727368538804;489.58879220459744;438.5132678496308;479.3037753216199;447.14522802217687];"mean":473.24179194385715;"standard_error":11.421324407572381;"valid":true};"2":{"failed_fold_count":0;"fold_scores":[438.2085683292754;472.48884824662514;535.2579590248179;491.6133096337488;490.0668672788132;437.8419908979216;477.27185889314563;448.7420221325889];"mean":473.93642805461707;"standard_error":11.619150143046483;"valid":true}};"failures":{"0":[];"1":[];"2":[]};"fold_contract":{"azimuth_sectors":8;"leave_one_donor_cell_out":false;"sector_zero_angle_rad":0.0};"one_se_threshold":484.5014428014814}
18,1,18,{"best_order":2;"candidates":{"0":{"failed_fold_count":0;"fold_scores":[542.6891230828139;535.1237405324819;559.2434072936342;564.3739115124384;569.864203885525;559.9828254057827;506.048056864571;582.9102804405011];"mean":552.5294436272185;"standard_error":8.477618127247975;"valid":true};"1":{"failed_fold_count":0;"fold_scores":[542.2799276513323;535.5435709484248;559.7000638938224;564.0701124052514;569.6741298351402;559.9286574378079;505.89110210019373;582.9225991501402];"mean":552.5012704277641;"standard_error":8.47869005489826;"valid":true};"2":{"failed_fold_count":0;"fold_scores":[543.7828936698195;533.511708377984;558.9590150910551;567.3826966076404;568.8428086333402;559.4237234498459;505.7887739315888;582.2216319620393];"mean":552.4891564654141;"standard_error":8.535739091393339;"valid":true}};"failures":{"0":[];"1":[];"2":[]};"fold_contract":{"azimuth_sectors":8;"leave_one_donor_cell_out":false;"sector_zero_angle_rad":0.0};"one_se_threshold":561.0248955568075}
