nhit_bin,left_cell_id,left_predE_bin,right_cell_id,right_predE_bin,true_energy_overlap,median_separation_dex,high_overlap_ge_0p5
"[100,200)",1,"[2,2.5)",2,"[2.5,3)",0.5503562526235328,0.324079930482819,1
"[100,200)",2,"[2.5,3)",3,"[3,3.25)",0.5440577840893215,0.3132256071137909,1
"[100,200)",3,"[3,3.25)",4,"[3.25,3.5)",0.6289734126927412,0.2227481215285012,1
"[100,200)",4,"[3.25,3.5)",5,"[3.5,3.75)",0.5999979523083518,0.25622530539464616,1
"[100,200)",5,"[3.5,3.75)",6,"[3.75,4.0)",0.5730364585524348,0.24660602188725234,1
"[200,300)",15,"[2.5,3)",16,"[3,3.25)",0.5271211146411467,0.26476448593471114,1
"[200,300)",16,"[3,3.25)",17,"[3.25,3.5)",0.5809048857033184,0.1994620721142799,1
"[200,300)",17,"[3.25,3.5)",18,"[3.5,3.75)",0.544502913256176,0.2549353642323209,1
"[200,300)",18,"[3.5,3.75)",19,"[3.75,4.0)",0.502820988758346,0.2685712012398467,1
"[200,300)",19,"[3.75,4.0)",20,"[4.0,4.25)",0.47173677135451286,0.28138943390178417,0
"[200,300)",20,"[4.0,4.25)",21,"[4.25,4.5)",0.4932752008464234,0.24194424111914437,0
"[300,500)",28,"[2.5,3)",29,"[3,3.25)",0.504211075753997,0.22580255714679565,1
"[300,500)",29,"[3,3.25)",30,"[3.25,3.5)",0.5390571671415711,0.19050070477578895,1
"[300,500)",30,"[3.25,3.5)",31,"[3.5,3.75)",0.5120625945058753,0.22734531143517822,1
"[300,500)",31,"[3.5,3.75)",32,"[3.75,4.0)",0.5034274111720742,0.2573035322422905,1
"[300,500)",32,"[3.75,4.0)",33,"[4.0,4.25)",0.4298832123745911,0.31647365020921425,0
"[300,500)",33,"[4.0,4.25)",34,"[4.25,4.5)",0.43541436661129634,0.2610811807541671,0
"[500,800)",42,"[3,3.25)",43,"[3.25,3.5)",0.5135635424284477,0.18617601876064604,1
"[500,800)",43,"[3.25,3.5)",44,"[3.5,3.75)",0.5261777653660108,0.18932494428068036,1
"[500,800)",44,"[3.5,3.75)",45,"[3.75,4.0)",0.5292593451262135,0.19369283383573377,1
"[500,800)",45,"[3.75,4.0)",46,"[4.0,4.25)",0.44535404020557545,0.3212594052226869,0
"[500,800)",46,"[4.0,4.25)",47,"[4.25,4.5)",0.41352196482667336,0.30444976910845467,0
"[500,800)",47,"[4.25,4.5)",48,"[4.5,4.75)",0.44688975919477303,0.2704274412673886,0
"[800,1100)",56,"[3.25,3.5)",57,"[3.5,3.75)",0.5769906652131226,0.13708854282536143,1
"[800,1100)",57,"[3.5,3.75)",58,"[3.75,4.0)",0.5600593839871761,0.1574164627363741,1
"[800,1100)",58,"[3.75,4.0)",59,"[4.0,4.25)",0.5053963523723954,0.2312199146793139,1
"[800,1100)",59,"[4.0,4.25)",60,"[4.25,4.5)",0.49174393309065256,0.23496626874324766,0
"[800,1100)",60,"[4.25,4.5)",61,"[4.5,4.75)",0.3902764884270479,0.40522603894905984,0
"[800,1100)",61,"[4.5,4.75)",62,"[4.75,5.0)",0.3552209722761699,0.4106097706641183,0
"[1100,2000)",70,"[3.5,3.75)",71,"[3.75,4.0)",0.5426040052093399,0.15030905562440067,1
"[1100,2000)",71,"[3.75,4.0)",72,"[4.0,4.25)",0.4662322117366403,0.20386841425998714,0
"[1100,2000)",72,"[4.0,4.25)",73,"[4.25,4.5)",0.493296222881771,0.185431702996107,0
"[1100,2000)",73,"[4.25,4.5)",74,"[4.5,4.75)",0.40415368224125137,0.2539749943590843,0
"[1100,2000)",74,"[4.5,4.75)",75,"[4.75,5.0)",0.47599793179457645,0.2089015343293541,0
"[2000,3000)",86,"[4.25,4.5)",87,"[4.5,4.75)",0.3183861320110437,0.2438999799512649,0
"[2000,3000)",87,"[4.5,4.75)",88,"[4.75,5.0)",0.3629386210614212,0.23897533082635292,0
"[2000,3000)",88,"[4.75,5.0)",89,"[5,5.5)",0.3234499174000953,0.270007159661386,0
