cell_id,include,nhit_bin,predE_bin,mc_count_selector,response_count_in_true_range,logE_true_q16,logE_true_q50,logE_true_q84,logE_true_sigma68,peak_density
1,1,"[100,200)","[2,2.5)",355123,318520,2.133967095423273,2.371180597801841,2.6390157480314964,0.2525243263041117,1.5563543890493519
2,1,"[100,200)","[2.5,3)",570475,533990,2.406311642970347,2.6952605282846602,2.9594569783724913,0.27657266770107225,1.47678795483062
3,1,"[100,200)","[3,3.25)",119345,109712,2.725694611753215,3.008486135398451,3.2294947305028607,0.25190005937482285,1.8243218608721
4,1,"[100,200)","[3.25,3.5)",54366,49357,2.9170644705882354,3.2312342569269523,3.4678858647936788,0.2754106971027217,1.5967339992300906
5,1,"[100,200)","[3.5,3.75)",30637,28373,3.1846983498349837,3.4874595623215985,3.702754034861201,0.25902784251310873,1.8521129242589771
6,1,"[100,200)","[3.75,4.0)",19553,18287,3.466637762237762,3.734065584208851,3.981328063241107,0.2573451505016724,1.717613605293384
7,0,"[100,200)","[4.0,4.25)",13002,12314,3.7526429780033843,4.004607386159914,4.213193037974683,0.23027502998564953,2.2649017378593554
8,0,"[100,200)","[4.25,4.5)",9017,8720,3.98496062992126,4.2227891156462585,4.520795847750865,0.2679176089148023,1.5378440366972395
9,0,"[100,200)","[4.5,4.75)",7232,7057,4.186288732394367,4.501566579634464,4.871830845771145,0.34277105668838903,1.6281706107411138
10,0,"[100,200)","[4.75,5.0)",6518,6398,4.439248,4.803404255319149,5.206233918128655,0.38349295906432745,1.350422006877154
11,0,"[100,200)","[5,5.5)",13418,13131,4.780392026578073,5.171725383920506,5.57837707948244,0.3989925264521834,1.333485644657685
12,0,"[100,200)","[5.5,6)",11489,11114,5.158225988700566,5.524639076034648,5.761614545454545,0.3016942783769898,1.8697138743926647
14,0,"[200,300)","[2,2.5)",14538,14377,2.2328949494949497,2.388837417812313,2.591732984293194,0.17941901739912214,2.3273283717048043
15,1,"[200,300)","[2.5,3)",230381,225895,2.513169628282263,2.7531231455919913,2.975517322280441,0.23117384699908894,1.7157971623984578
16,1,"[200,300)","[3,3.25)",138621,133888,2.8116367118914605,3.0178876315267025,3.196537790368272,0.19245053923840572,2.2572597992351797
17,1,"[200,300)","[3.25,3.5)",64290,61054,2.9872508033147303,3.2173497036409824,3.417332598309445,0.21504089749735744,1.934353195531831
18,1,"[200,300)","[3.5,3.75)",28446,26884,3.199301446051168,3.4722850678733033,3.6648826423049896,0.23279059812691072,1.97292069632495
