label,map_uri,pass5_ltime_seconds,mjd0,mjd1
20220101_0,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220101_0_BKG_J2000.root,14233.600000001416,59579.666915780523,59579.833548603274
20220101_1,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220101_1_BKG_J2000.root,14252.900000001417,59579.833531946591,59580.000308522569
20220101_2,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220101_2_BKG_J2000.root,14233.800000001414,59580.000275235405,59580.166957391353
20220101_3,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220101_3_BKG_J2000.root,7391.3000000003867,59580.166940051953,59580.291848331726
20220101_4,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220101_4_BKG_J2000.root,11395.10000000099,59580.33358543252,59580.500269667937
20220101_5,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220101_5_BKG_J2000.root,14208.900000001411,59580.500280360953,59580.666609941669
20220102_0,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220102_0_BKG_J2000.root,14099.700000001394,59580.666618546922,59580.83345415652
20220102_1,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220102_1_BKG_J2000.root,14172.300000001405,59580.833496993015,59581.000182634838
20220102_2,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220102_2_BKG_J2000.root,14163.700000001405,59581.000230357626,59581.166846935957
20220102_3,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220102_3_BKG_J2000.root,7092.3000000003422,59581.166899770411,59581.291771024793
20220102_4,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220102_4_BKG_J2000.root,11561.900000001013,59581.33337269201,59581.5000476485
20220102_5,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220102_5_BKG_J2000.root,14268.80000000142,59581.500112965805,59581.666853697294
20220103_0,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220103_0_BKG_J2000.root,14252.400000001418,59581.666918520583,59581.833555521509
20220103_1,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220103_1_BKG_J2000.root,14239.700000001416,59581.833575256751,59582.000168051767
20220103_2,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220103_2_BKG_J2000.root,14232.600000001414,59582.000186345555,59582.166759443018
20220103_3,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220103_3_BKG_J2000.root,6960.500000000322,59582.166779638639,59582.250191886022
20220103_4,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220103_4_BKG_J2000.root,11879.300000001062,59582.333626853135,59582.500377266617
20220103_5,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220103_5_BKG_J2000.root,14212.50000000141,59582.500395646377,59582.666706918084
20220104_0,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220104_0_BKG_J2000.root,14263.30000000142,59582.666699771959,59582.833607160603
20220104_1,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220104_1_BKG_J2000.root,14234.500000001413,59582.833586805806,59583.00003240419
20220104_2,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220104_2_BKG_J2000.root,14172.000000001406,59583.000000938118,59583.166800692554
20220104_3,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220104_3_BKG_J2000.root,6846.7000000003054,59583.166799309176,59583.250332175368
20220104_4,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220104_4_BKG_J2000.root,12037.300000001083,59583.333472934246,59583.500022683424
20220104_5,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220104_5_BKG_J2000.root,14194.700000001409,59583.499979181121,59583.666959713832
20220105_0,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220105_0_BKG_J2000.root,14296.900000001424,59583.666925015459,59583.833303000691
20220105_1,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220105_1_BKG_J2000.root,14279.500000001422,59583.833756035921,59584.000339343511
20220105_2,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220105_2_BKG_J2000.root,14274.000000001421,59584.000321069543,59584.166963648233
20220105_3,root://eos01.ihep.ac.cn//eos/user/l/liushijie/pass5_crab_v6_sorted_gti/pass5_crab_v6_sorted_gti_map_chunks/20220105_3_BKG_J2000.root,6573.2000000002636,59584.166941455929,59584.250244632174
