energy_tev,v6_relative_uncertainty_percent_raw,v6_relative_uncertainty_percent_birge_pdg,pass5_relative_uncertainty_percent,v6_uncertainty_reduction_percent_raw,v6_uncertainty_reduction_percent_birge_pdg
1,1.381998155,6.324560814,1.602529295,13.76144201,-294.6611669
1.015468992,1.380394525,6.317221979,1.546547762,10.74349211,-308.4724789
1.031177275,1.379166699,6.311602969,1.492858883,7.615735509,-322.786309
1.047128548,1.37829215,6.307600694,1.441542953,4.387715444,-337.5589837
1.063326572,1.37774861,6.305113242,1.392683376,1.072373443,-352.7312776
1.079775162,1.377514123,6.304040138,1.346365764,-2.313513851,-368.2264141
1.096478196,1.377567098,6.304282575,1.302676702,-5.748962551,-383.9483629
1.113439609,1.377886358,6.305743634,1.261702158,-9.208528284,-399.7806806
1.130663398,1.37845118,6.308328476,1.223525492,-12.66223618,-415.5861906
1.148153621,1.379241331,6.311944517,1.188225076,-16.07576375,-431.2078197
1.165914401,1.380237109,6.316501581,1.155871545,-19.41094273,-446.4708953
1.183949922,1.381419362,6.321912034,1.126524768,-22.62663032,-461.1871318
1.202264435,1.382769524,6.328090898,1.100230641,-25.67996862,-475.1603949
1.220862254,1.384269627,6.334955951,1.077017899,-28.52800571,-488.1941198
1.239747763,1.385902324,6.342427807,1.05689515,-31.12959439,-500.100001
1.258925412,1.387650902,6.35042998,1.039848373,-33.44742733,-510.7073056
1.278399719,1.389499294,6.35888894,1.025839117,-35.45002044,-519.8719502
1.298175275,1.391432085,6.367734145,1.014803605,-37.11343531,-527.4843833
1.318256739,1.393434522,6.376898074,1.006652868,-38.4225452,-533.4753791
1.338648842,1.395492513,6.38631624,1.001273946,-39.3716992,-537.8190767
1.359356391,1.397592631,6.3959272,0.998532097,-39.96471777,-540.5329602
1.380384265,1.399722116,6.40567255,0.9982738441,-40.21424326,-541.6748859
1.401737418,1.401868868,6.415496922,1.000330635,-40.14055152,-541.3376438
1.423420884,1.404021449,6.425347968,1.004522832,-39.76998869,-539.6418043
1.445439771,1.406169075,6.435176341,1.010663776,-39.13322201,-536.7277124
1.467799268,1.408301615,6.444935672,1.01856366,-38.26348511,-532.7474582
1.490504643,1.410409582,6.454582547,1.028033049,-37.19496496,-527.8574946
1.513561248,1.412484127,6.464076475,1.038885896,-35.96143064,-522.2123621
1.536974516,1.414517037,6.473379861,1.05094201,-34.59515595,-515.9597579
1.560749963,1.416500722,6.482457973,1.06402895,-33.12614498,-509.2369926
1.584893192,1.418428211,6.491278912,1.077983385,-31.58163949,-502.1687351
1.609409893,1.420293146,6.499813577,1.092651976,-29.98586714,-494.8658605
1.634305843,1.422089772,6.50803564,1.107891846,-28.35998182,-487.4251771
1.659586907,1.423812937,6.51592151,1.123570723,-26.72214637,-479.9298054
1.685259045,1.425458076,6.523450306,1.139566822,-25.08771304,-472.4500031
1.711328304,1.427021213,6.530603832,1.155768536,-23.46946377,-465.0442654
1.737800829,1.428498954,6.537366547,1.172073999,-21.87788102,-457.760564
1.764682857,1.429888477,6.543725547,1.188390557,-20.32142705,-450.6376255
1.791980722,1.431187534,6.549670536,1.204634192,-18.80681653,-443.706179
1.819700859,1.432394442,6.555193814,1.220728926,-17.33927262,-436.9901275
1.847849797,1.433508081,6.560290259,1.236606228,-15.92276093,-430.5076194
1.876434172,1.434527891,6.564957308,1.252204437,-14.56019868,-424.2720048
1.905460718,1.435453871,6.569194951,1.267468215,-13.25363853,-418.2926776
1.934936275,1.436286573,6.573005719,1.282348027,-12.00442806,-412.5758049
1.96486779,1.437027105,6.57639468,1.296799665,-10.81334638,-407.1249521
1.995262315,1.437677126,6.579369431,1.310783813,-9.680720226,-401.9416145
2.026127013,1.43823885,6.5819401,1.324265641,-8.606521644,-397.0256642
2.057469156,1.438715043,6.584119343,1.337214454,-7.590449634,-392.3757237
2.089296131,1.439109024,6.585922353,1.349603358,-6.631997913,-387.989476
